funder_name,grnt_rcdc,pub_rcdc,nb_grnts,nb_obs,nb_pubs
Cancer Research UK,,,595,4953,3451
Cancer Research UK,,Acquired Cognitive Impairment,1,1,1
Cancer Research UK,,Adolescent Sexual Activity,1,1,1
Cancer Research UK,,Aging,78,191,114
Cancer Research UK,,"Alcoholism, Alcohol Use and Health",1,1,1
Cancer Research UK,,Alzheimer's Disease,1,1,1
Cancer Research UK,,Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD),2,2,1
Cancer Research UK,,Antimicrobial Resistance,2,2,2
Cancer Research UK,,Arthritis,6,6,5
Cancer Research UK,,Assistive Technology,1,1,1
Cancer Research UK,,Asthma,3,6,6
Cancer Research UK,,Ataxia Telangiectasia,2,2,2
Cancer Research UK,,Atherosclerosis,4,5,4
Cancer Research UK,,Autoimmune Disease,20,28,25
Cancer Research UK,,Basic Behavioral and Social Science,7,15,10
Cancer Research UK,,Behavioral and Social Science,29,71,55
Cancer Research UK,,Biodefense,8,8,8
Cancer Research UK,,Bioengineering,41,78,70
Cancer Research UK,,Biotechnology,141,318,238
Cancer Research UK,,Brain Cancer,7,8,8
Cancer Research UK,,Brain Disorders,46,71,53
Cancer Research UK,,Breast Cancer,85,375,224
Cancer Research UK,,Cancer,265,1722,1182
Cancer Research UK,,Cardiovascular,23,40,34
Cancer Research UK,,Cervical Cancer,13,22,14
Cancer Research UK,,Childhood Leukemia,6,6,5
Cancer Research UK,,Chronic Liver Disease and Cirrhosis,7,7,5
Cancer Research UK,,Chronic Obstructive Pulmonary Disease,3,4,4
Cancer Research UK,,Climate-Related Exposures and Conditions,3,3,2
Cancer Research UK,,Clinical Research,182,828,603
Cancer Research UK,,Clinical Trials and Supportive Activities,91,192,139
Cancer Research UK,,Colo-Rectal Cancer,36,68,47
Cancer Research UK,,Comparative Effectiveness Research,13,18,18
Cancer Research UK,,Complementary and Alternative Medicine,10,11,7
Cancer Research UK,,Conditions Affecting the Embryonic and Fetal Periods,2,2,2
Cancer Research UK,,Congenital Structural Anomalies,2,2,2
Cancer Research UK,,Contraception/Reproduction,7,9,8
Cancer Research UK,,Cost Effectiveness Research,4,6,6
Cancer Research UK,,Crohn's Disease,1,3,3
Cancer Research UK,,Dental/Oral and Craniofacial Disease,18,26,23
Cancer Research UK,,Depression,7,12,8
Cancer Research UK,,Diabetes,20,46,41
Cancer Research UK,,Diagnostic Radiology,47,190,163
Cancer Research UK,,Digestive Diseases,118,387,292
Cancer Research UK,,Digestive Diseases - (Peptic Ulcer),1,1,1
Cancer Research UK,,Drug Abuse (NIDA Only),6,9,6
Cancer Research UK,,Emerging Infectious Diseases,24,35,29
Cancer Research UK,,Estrogen,14,18,11
Cancer Research UK,,Eye Disease And Disorders Of Vision,2,2,2
Cancer Research UK,,Foodborne Illness,3,3,2
Cancer Research UK,,Gene Therapy,3,4,4
Cancer Research UK,,Genetic Testing,29,66,29
Cancer Research UK,,Genetics,214,1006,724
Cancer Research UK,,HIV/AIDS,12,17,13
Cancer Research UK,,HPV and/or Cervical Cancer Vaccines,4,11,6
Cancer Research UK,,Health Services,20,33,31
Cancer Research UK,,Heart Disease,15,21,18
Cancer Research UK,,Heart Disease - Coronary Heart Disease,8,9,7
Cancer Research UK,,Hematology,48,131,96
Cancer Research UK,,Hepatitis - C,5,5,3
Cancer Research UK,,Human Fetal Tissue,1,1,1
Cancer Research UK,,Human Genome,64,154,97
Cancer Research UK,,Hypertension,6,8,6
Cancer Research UK,,Immunization,27,39,27
Cancer Research UK,,Infant Mortality/ (LBW),5,5,5
Cancer Research UK,,Infectious Diseases,58,113,87
Cancer Research UK,,Inflammatory Bowel Disease,1,1,1
Cancer Research UK,,Influenza,1,1,1
Cancer Research UK,,Injury (total) Accidents/Adverse Effects,4,5,3
